PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, I=0.0, L=1.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=False, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='no_precond')

###### no preconditioning (PIVMGS) ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"     "new Krylov vector rank"    "solution rank"
0 1 1 2 2 0
# TT-PIVMGS:    ortho 0 pivot 0 dot 0.9604061728712897
# TT-PIVMGS:    ortho max err 2.0122792321330962e-16 , max. rank: 4
1 0.27860363082831946 0.2786036308283195 4 4 2
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.9034621494871335
# TT-PIVMGS:    ortho 0 pivot 0 dot 0.6010506288236515
# TT-PIVMGS:    ortho max err 1.5959455978986625e-15 , max. rank: 6
2 0.11015264357944803 0.11015264357944766 6 6 4
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.8697862645745911
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.6586770659009806
# TT-PIVMGS:    ortho 0 pivot 0 dot -9.288071241956002e-06
# TT-PIVMGS:    ortho max err 6.453171330633722e-16 , max. rank: 8
3 0.05305628452399349 0.05305628452399244 8 8 6
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.8508090611740886
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.6825376433740805
# TT-PIVMGS:    ortho 0 pivot 1 dot -1.5269684317940034e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot 2.499159870578138e-07
# TT-PIVMGS:    ortho max err 8.090750291955828e-15 , max. rank: 10
4 0.029049719728652706 0.02904971972865147 10 10 8
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.8414461100750612
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.6953060218471472
# TT-PIVMGS:    ortho 0 pivot 2 dot -2.0879334291653076e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot -1.591360232050358e-06
# TT-PIVMGS:    ortho 0 pivot 1 dot 7.392475058071168e-07
# TT-PIVMGS:    ortho max err 4.871103520542874e-15 , max. rank: 12
5 0.01730047800852222 0.017300478008520827 12 12 10
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.8378923938183627
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.7022836294983785
# TT-PIVMGS:    ortho 0 pivot 3 dot -2.6161116969385806e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot -3.4384095974468107e-06
# TT-PIVMGS:    ortho 0 pivot 2 dot 1.5373034523754464e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot 4.2185196587091363e-07
# TT-PIVMGS:    ortho max err 1.4835355166553654e-14 , max. rank: 14
6 0.010857368385215683 0.010857368385213815 14 14 12
# TT-PIVMGS:    ortho 0 pivot 6 dot 0.8364415812611546
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.7050725800059544
# TT-PIVMGS:    ortho 0 pivot 4 dot -3.077701821375999e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot -5.685033228377905e-06
# TT-PIVMGS:    ortho 0 pivot 3 dot 2.7736451342560975e-06
