PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, I=0.0, L=1.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=False, d=10, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='no_precond')

###### no preconditioning (PIVMGS) ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"     "new Krylov vector rank"    "solution rank"
0 1 1 2 2 0
# TT-PIVMGS:    ortho 0 pivot 0 dot 0.9816452235366491
# TT-PIVMGS:    ortho max err 1.231653667943533e-15 , max. rank: 4
1 0.19071616372946254 0.19071616372946204 4 4 2
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.9496392242843665
# TT-PIVMGS:    ortho 0 pivot 0 dot 0.5929524413178513
# TT-PIVMGS:    ortho max err 9.377915111130619e-15 , max. rank: 6
2 0.05165448947527823 0.05165448947527785 6 6 4
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.9242963349803041
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.6485675180476651
# TT-PIVMGS:    ortho 0 pivot 0 dot -9.142553665951914e-07
# TT-PIVMGS:    ortho max err 2.733924198139448e-15 , max. rank: 8
3 0.017176663870996665 0.01717666387099577 8 8 6
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.9041676747017784
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.671163988249073
# TT-PIVMGS:    ortho 0 pivot 1 dot -1.420390537322123e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot 1.3120689666267383e-07
# TT-PIVMGS:    ortho max err 1.1095291352347658e-14 , max. rank: 10
4 0.006599532401028985 0.00659953240102838 10 10 8
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.8881832877909306
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.683431108608519
# TT-PIVMGS:    ortho 0 pivot 2 dot -1.8656932037282347e-06
# TT-PIVMGS:    ortho 0 pivot 1 dot 1.2292483739305242e-07
# TT-PIVMGS:    ortho max err 1.1028129847176363e-08 , max. rank: 12
# TT-PIVMGS:    ortho 1 pivot 0 dot -1.1028129847176363e-08
# TT-PIVMGS:    ortho max err 3.805115944555126e-15 , max. rank: 12
5 0.0028314311532753765 0.002831431153274924 12 12 10
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.875527338941278
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.6909399408392054
# TT-PIVMGS:    ortho 0 pivot 3 dot -2.2838298945760793e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot -5.307401156775626e-08
# TT-PIVMGS:    ortho max err 2.6933939729293765e-08 , max. rank: 14
# TT-PIVMGS:    ortho 1 pivot 1 dot -2.6933939729293765e-08
# TT-PIVMGS:    ortho 1 pivot 2 dot -1.2706341102767041e-08
# TT-PIVMGS:    ortho max err 7.077671781985373e-15 , max. rank: 14
6 0.0013265969049669124 0.0013265969049755149 14 14 12
# TT-PIVMGS:    ortho 0 pivot 6 dot 0.8655634500276163
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.6956818543102969
# TT-PIVMGS:    ortho 0 pivot 4 dot -2.673924402763232e-06
# TT-PIVMGS:    ortho 0 pivot 3 dot -3.0007066998283954e-07
# TT-PIVMGS:    ortho 0 pivot 1 dot -1.5643931494170073e-07
# TT-PIVMGS:    ortho 0 pivot 2 dot -5.102313731979516e-08
# TT-PIVMGS:    ortho max err 2.1590160680380719e-10 , max. rank: 16
7 0.0006680110772360169 0.0006680110772027894 16 16 14
# TT-PIVMGS:    ortho 0 pivot 7 dot 0.8577839275599896
# TT-PIVMGS:    ortho 0 pivot 6 dot 0.6985997750677028
# TT-PIVMGS:    ortho 0 pivot 5 dot -3.0080219999442746e-06
# TT-PIVMGS:    ortho 0 pivot 4 dot -7.434506366457184e-07
# TT-PIVMGS:    ortho 0 pivot 2 dot -3.4520878298429335e-07
# TT-PIVMGS:    ortho 0 pivot 3 dot -7.179018519866583e-08
# TT-PIVMGS:    ortho 0 pivot 0 dot -2.869133524537851e-08
# TT-PIVMGS:    ortho max err 1.9504311291323063e-09 , max. rank: 18
